,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,WORD COUNT,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,COMPLEX WORD COUNT,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,14,9,0.22,351,0.07,14.6,68,0.19,5.916,14.62,2.0712250712250713,4,5.083451202263084
1,2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,23,7,0.53,333,0.09,11.9,85,0.26,4.864000000000001,11.89,2.165165165165165,2,5.2863924050632916
2,3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,77,21,0.57,949,0.1,12.5,219,0.23,5.0920000000000005,12.49,2.177028451001054,13,5.362450368689734
3,4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,13,0,1.0,226,0.06,15.1,61,0.27,6.148,15.07,2.2123893805309733,1,5.293181818181818
4,5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,30,9,0.54,336,0.12,8.8,80,0.24,3.6160000000000005,8.84,2.1964285714285716,21,5.009803921568627
5,6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,41,13,0.52,603,0.09,12.6,140,0.23,5.132000000000001,12.56,2.2205638474295193,3,5.401074306177261
6,7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,57,46,0.11,801,0.13,13.1,147,0.18,5.312,13.13,2.1885143570536827,1,5.5596051632498105
7,8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,43,14,0.51,702,0.08,12.3,147,0.21,5.004000000000001,12.32,2.2535612535612537,8,5.219771863117871
8,9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,62,11,0.7,709,0.1,9.8,133,0.19,3.9960000000000004,9.85,2.162200282087447,3,5.275494672754947
9,10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,25,24,0.02,276,0.18,7.9,59,0.21,3.2440000000000007,7.89,2.101449275362319,2,4.952622673434856
10,11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,29,4,0.76,333,0.1,10.1,61,0.18,4.112,10.09,2.264264264264264,3,5.201574803149606
11,12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,24,30,-0.11,562,0.1,8.1,98,0.17,3.308,8.14,2.092526690391459,30,4.956862745098039
12,13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,6,5,0.09,217,0.05,8.3,57,0.26,3.4240000000000004,8.35,2.193548387096774,0,5.156769596199525
13,14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,20,7,0.48,266,0.1,10.2,83,0.31,4.204,10.23,2.4097744360902253,5,5.232682060390764
14,15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,28,53,-0.31,624,0.13,6.7,123,0.2,2.7600000000000002,6.71,2.1826923076923075,7,4.987068965517241
15,16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,31,15,0.35,412,0.11,11.8,88,0.21,4.804000000000001,11.77,2.1116504854368934,6,4.861920172599784
16,17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,82,37,0.38,1034,0.12,13.8,234,0.23,5.612000000000001,13.79,2.2176015473887816,1,5.670786516853933
17,18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,77,38,0.34,601,0.19,7.5,122,0.2,3.08,7.51,2.0632279534109816,7,4.8508522727272725
